timestamp,metric,value,instance_type
2025-04-06 20:33:20,node_age,84m,unknown
2025-04-06 20:33:23,node_instance_type,ip-10-0-3-34.ec2.internal,unknown
2025-04-06 20:33:23,node_status,Ready,unknown
2025-04-06 20:33:23,node_age,84m,unknown
2025-04-06 20:34:33,current_node_count,2,N/A
2025-04-06 20:34:33,pending_pods,0,N/A
2025-04-06 20:34:33,running_pods,1,N/A
2025-04-06 20:35:42,current_node_count,2,N/A
2025-04-06 20:35:42,pending_pods,0,N/A
2025-04-06 20:35:42,running_pods,1,N/A
2025-04-06 20:36:52,current_node_count,2,N/A
2025-04-06 20:36:52,pending_pods,0,N/A
2025-04-06 20:36:52,running_pods,1,N/A
2025-04-06 20:38:01,current_node_count,2,N/A
2025-04-06 20:38:01,pending_pods,0,N/A
2025-04-06 20:38:01,running_pods,1,N/A
2025-04-06 20:39:07,scale_down_duration_seconds,1056,N/A
2025-04-06 20:39:07,final_node_count,2,N/A
2025-04-06 20:39:07,total_test_duration_seconds,2312,N/A
